state,sat_2017_participation,sat_2017_total,sat_2018_participation,sat_2018_total,sat_2019_participation,sat_2019_total,act_2017_participation,act_2017_composite,act_2018_participation,act_2018_composite,act_2019_participation,act_2019_composite
Michigan,1.0,1005.0,1.0,1011.0,1.0,1003.0,0.29,24.1,0.22,24.2,0.19,24.4
Minnesota,0.03,1295.0,0.04,1298.0,0.04,1284.0,1.0,21.5,0.99,21.3,0.95,21.4
Mississippi,0.02,1242.0,0.03,1236.0,0.03,1237.0,1.0,18.6,1.0,18.6,1.0,18.4
Missouri,0.03,1271.0,0.04,1262.0,0.04,1236.0,1.0,20.4,1.0,20.0,0.82,20.8
Montana,0.1,1196.0,0.1,1198.0,0.09,1199.0,1.0,20.3,1.0,20.0,1.0,19.8
Nebraska,0.03,1253.0,0.03,1252.0,0.03,1260.0,0.84,21.4,1.0,20.1,1.0,20.0
Nevada,0.26,1116.0,0.23,1140.0,0.2,1156.0,1.0,17.8,1.0,17.7,1.0,17.9
New Hampshire,0.96,1052.0,0.96,1063.0,0.95,1059.0,0.18,25.5,0.16,25.1,0.14,25.0
New Jersey,0.7,1056.0,0.82,1094.0,0.82,1090.0,0.34,23.9,0.31,23.7,0.25,24.2
New Mexico,0.11,1138.0,0.16,1093.0,0.18,1073.0,0.66,19.7,0.67,19.4,0.63,19.3
New York,0.67,1052.0,0.79,1068.0,0.79,1064.0,0.31,24.2,0.27,24.5,0.22,24.5
North Carolina,0.49,1081.0,0.52,1098.0,0.51,1100.0,1.0,19.1,1.0,19.1,1.0,19.0
North Dakota,0.02,1256.0,0.02,1283.0,0.02,1263.0,0.98,20.3,0.98,20.3,0.96,19.9
Ohio,0.12,1149.0,0.18,1099.0,0.19,1097.0,0.75,22.0,1.0,20.3,1.0,20.0
Oklahoma,0.07,1047.0,0.08,1062.0,0.22,963.0,1.0,19.4,1.0,19.3,1.0,18.9
Oregon,0.43,1108.0,0.48,1117.0,0.51,1112.0,0.4,21.8,0.42,21.3,0.42,21.1
Pennsylvania,0.65,1071.0,0.7,1086.0,0.7,1082.0,0.23,23.7,0.2,23.5,0.17,23.6
Rhode Island,0.71,1062.0,0.97,1018.0,1.0,995.0,0.21,24.0,0.15,24.2,0.12,24.7
South Carolina,0.5,1064.0,0.55,1070.0,0.68,1030.0,1.0,18.7,1.0,18.3,0.78,18.8
South Dakota,0.03,1216.0,0.03,1240.0,0.03,1268.0,0.8,21.8,0.77,21.9,0.75,21.6
Tennessee,0.05,1228.0,0.06,1231.0,0.07,1220.0,1.0,19.8,1.0,19.6,1.0,19.4
Texas,0.62,1020.0,0.66,1032.0,0.68,1022.0,0.45,20.7,0.45,20.7,0.39,20.5
Utah,0.03,1238.0,0.04,1010.0,0.04,1230.0,1.0,20.3,1.0,20.4,1.0,20.3
Vermont,0.6,1114.0,0.64,1120.0,0.66,1106.0,0.29,23.6,0.24,24.1,0.2,24.1
Virginia,0.65,1102.0,0.68,1117.0,0.68,1119.0,0.29,23.8,0.24,23.9,0.21,24.0
Washington,0.64,1075.0,0.69,1081.0,0.7,1074.0,0.29,21.9,0.24,22.2,0.24,22.1
West Virginia,0.14,1086.0,0.28,999.0,0.99,943.0,0.69,20.4,0.65,20.3,0.49,20.8
Wisconsin,0.03,1291.0,0.03,1294.0,0.03,1283.0,1.0,20.5,1.0,20.5,1.0,20.3
Wyoming,0.03,1230.0,0.03,1257.0,0.03,1238.0,1.0,20.2,1.0,20.0,1.0,19.8
Puerto Rico,,,,,,944.0,,,,,,
Virgin Islands,,,,,,935.0,,,,,,
National,,,,,,,0.6,21.0,,,0.52,20.7
District of columbia,,,,,,,,,0.32,23.6,,
